"name","url","description","platform","location"
"data.gov.uk","https://data.gov.uk","The UKs http://data.gov.uk/ was one of the first government data portals on its launch in 2009, using Drupal to build the site and CKAN as a back-end. It was relaunched in June 2012 with data search pages now presented directly by CKAN.","CKAN","United Kingdom"
"data.NSW","http://data.nsw.gov.au/data","data.NSW brings together a list of NSW Government datasets available in one searchable website. The NSW Government aims to make data more accessible to the public and to industry to stimulate innovative approaches to service delivery.","CKAN","New South Wales, Australia"
"data.overheid.nl","https://data.overheid.nl/data","The government of the Netherlands publishes its data at http://data.overheid.nl/. The site is built in Drupal and uses CKAN for the underlying catalogue.","CKAN","Netherlands"
"Data.Rio","http://data.rio","Portal for the Brazilian state Rio de Janeiro. Using CKAN 2.2.","CKAN","Rio de Janeiro, Brazil"
"Data.vic","https://www.data.vic.gov.au","The Data.Vic portal provides open data infrastructure to agencies within the whole of Victorian Government. It allows for a three tiered publishing process, developed by Link Digital.","CKAN","Victoria, Australia"
"data.wa.gov.au","http://catalogue.beta.data.wa.gov.au","Western Australian Government Open Data The purpose of the Western Australian Whole of Government Open Data Policy is to improve management and use of the public sectors data assets in order to deliver value and benefits for all Western Australians.   This includes greater release of appropriate and high-value data to the public in ways that are easily discoverable and usable.","CKAN","Western Australia, Australia"
"Aragon Open Data","http://opendata.aragon.es/catalogo","Aragon Open Data Portal","CKAN","Aragon, Spain"
"CNMC Open Data","http://opendata.cnmc.es","Markets and Competition Commission (CNMC) Open Data","CKAN","Spain"
"openAFRICA","https://africaopendata.org","Africa's Largest Volunteer Driven Open Data Platform","CKAN","Africa"
"Alberta Open Government Portal","https://open.alberta.ca","Open Data for the Alberta Government","CKAN","Alberta, Canada"
"DataBC","https://catalogue.data.gov.bc.ca","British Columbia Open Data Portal","CKAN","British Columbia, Canada"
"Santander Open Data","http://apicatalogo.santander.es","Santander Open Data","CKAN","Santander, Spain"
"National League of Cities Open Data Portal","data.nlc.org",,"Socrata","United States"
"DataPOA","http://datapoa.com.br","Portal for the city of Porto Alegre, capital of the Rio Grande do Sul state in Brazil. Using CKAN 2.1","CKAN","Porto Alegre, RS, Brazil"
"Data.go.jp","http://www.data.go.jp/data","(third-party submission) This site was set up as a trial version of the Data Catalog Site. Its purposes are to provide a sphere for the use of data owned by different governmental ministries and agencies as open data and to present the image of open data to both data providers and data users.","CKAN","Japan"
"Datos abiertos Malaga","http://datosabiertos.malaga.eu","Malaga is committed to the global initiative that aims to make available to all citizens and companies the information held by public authorities.","CKAN","Malaga, Spain"
"London Datastore    ","http://data.london.gov.uk","The London Datastore is a site hosted on the DataPress platform (datapress.io) and uses CKAN.  This is a replacement for the old Drupal London Datastore and went live on 23rd Oct 2014.","CKAN","London, UK"
"opendata.gov.je","https://opendata.gov.je","The home of open data published by the government of the Island of Jersey, launched in October 2015","CKAN","Jersey"
"Fortaleza Dados Abertos","http://dados.fortaleza.ce.gov.br","Fortaleza Dados Abertos offers public data and information related to the city of Fortaleza, Ceara. The data is published in open data standart that allows use in digital apps developed by and for anyone. Also, this portal can be used as a tool for society to think and promote innovation and creativity to improve public services and the life in the city.","CKAN","Fortaleza, Brazil"
"Glasgow Open Data","https://data.glasgow.gov.uk","Glasgow Open Data is part of Open Glasgow, a project funded with a Future Cities grant from the UK government. The data will be used to build an integrated view of Glasgow through maps, widgets and apps. Other public, private, and voluntary organisations are invited to use the platform to open and share their data.","CKAN","Glasgow, Scotland, UK"
"Grand Rapids Open Data","http://data.grcity.us","The Grand Rapids Open Data catalog is a collaborative project between the City of Grand Rapids, MI and Friendly Code, a Code for America Brigade. ","CKAN","Grand Rapids, MI, USA"
"Copenhagen Data","http://data.kk.dk","Copenhagen Data features open data from Copenhagen Municipality","CKAN","Copenhagen, Denmark"
"Annuario Statistico del Comune di Firenze","http://annuario.comune.fi.it","City of Florence Statistic Data Portal","CKAN","Florence, Italy"
"Amsterdam Open Data","http://data.amsterdam.nl","Amsterdam Open Data Portal","CKAN","Amsterdam, Netherlands"
"Bermuda.io","http://bermuda.io","Bermuda.io is part of a global trend toward open data, using technology to provide the public with greater access to information.","CKAN","Bermuda"
"Barrow Borough Councils Open Data Portal","https://data.barrowbc.gov.uk","Barrow Borough Councils Open Data Portal","CKAN","Barrow-In-Furness, UK"
"Paraguay Open Data Catelog","https://www.datos.gov.py","Paraguay Open Data Catelog","CKAN","Paraguay"
"Data.gov","https://catalog.data.gov","open data portal of us government","CKAN","United States"
"Uruguay Open Data Catalog","https://catalogodatos.gub.uy","Uruguays national open data portal https://catalogodatos.gub.uy/ was launched on 5 December 2012. National and local government agencies can add datsets to the catalogue.","CKAN","Uruguay"
"data.gov.ie","https://data.gov.ie","Irelands national open data portal was launched in July 2014. It is operated by the Department of Public Expenditure and Reform.","CKAN","Ireland"
"Alagoas Data and Information","http://dados.al.gov.br","Open Data for the Alagoas Government","CKAN","Alagoas, Brazil"
"Helsinki Region Infoshare","http://www.hri.fi/fi","The Helsinki Region Infoshare aims to make regional information quickly and easily accessible to all. It is powered by CKAN and WordPress, and has over 900 datasets. The site has Finnish and English versions. The data is mainly statistical, giving a comprehensive and diverse outlook on a variety of urban phenomena, such as living conditions, economics and well-being, employment and transport.","CKAN","Helsinki, Finland"
"Landcare Research NZ DataStore","https://datastore.landcareresearch.co.nz","The Landcare Research DataStore (the DataStore) is the general data catalogue and repository for Environmental Research Data from Landcare Research.  Much of Landcare Researchs research data is available through specific web pages on our public website, but many datasets sit outside these areas. This new data repository provides a mechanism for our staff to deposit and document this wider range of datasets so that they may be discovered and potentially re-used.","CKAN","New Zealand"
"Nantou City Open Data","http://data.nantou.gov.tw","Nantou county, the only landlocked county in Taiwan, has adopted CKAN for their data catalog. The county is well-known for Sun Moon Lake and some breath-taking sceneries.","CKAN","Nantou City, Taiwan, China"
"Montreal Open Data","http://donnees.ville.montreal.qc.ca","The City of Montreal, in Quebec, Canada, launched this open data portal in beta in October 2013. It combines CKAN with the Wordpress content management system.","CKAN","Montreal, Quebec, Canada"
"NosDonnees.fr","http://www.nosdonnees.fr","A community-run data portal for France.","CKAN","France"
"OffeneDaten.de","https://offenedaten.de","OffeneDaten.de, run by the Open Knowledge Foundation Germany, is a community data portal aiming to provide an independent and comprehensive range of data from different sources, including public administrations, research, and private organisations.","CKAN","Germany"
"Open Data Aarhus","https://www.odaa.dk","odaa.dk is a local and regional open data portal for Aarhus and The Central Region of Denmark. It was launched in betaversion in April 2013. The aim is to realease data from the Municipality, the Region and the University - realtime data with automated harvesting when possible. It is built in Drupal and CKAN.","CKAN","Aarhus, Denmark"
"Raleigh Open Data","data.raleighnc.gov",,"Socrata","Raleigh, NC"
"Renton Open Data Portal","data.rentonwa.gov",,"Socrata","Renton, WA"
"New Castle County Open Data Portal","data.nccde.org",,"Socrata","New Castle County, DE"
"Data.CMS.Gov","data.cms.gov",,"Socrata","United States"
"LAC Open Data","data.lacounty.gov",,"Socrata","Los Angeles County, CA"
"Open Illinois","data.illinois.gov",,"Socrata","Illinois"
"Open Data Gortynia","http://opendatagortynia.gr","This is the official Open Data Catalogue of Municipality of Gortynia in Greece, launched during April 2014. At this stage (beta), is mainly based on Gortynia Municipalitys open geospatial datasets, as well as open data from third public sectors parties. The catalogue has been smoothly integrated with Gortynias INSPIRE Spatial Data Infrastructure (SDI), in the sense they are dynamically connected. It provides simple (preview) and advanced (Geoportal) view of datasets, downloading in various formats (shapefile, kml, geotiff). The catalogue is built using FOSS, such as CKAN, GET SDI Portal, GeoServer, Geonetwork.","CKAN","Gortynia, Greece"
"Open Data della Regione Toscana","http://dati.toscana.it","The Tuscan regional government Regione Toscanas Open Data portal dati.toscana.it was developed using CKAN 1.7.1 with several customisations, and launched in July 2012. It aims to encourage the publication of openly-licensed data by public administrations in Tuscany, and is part of the wider RTRT project to co-ordinate IT initiatives between public administrations in the region.","CKAN","Tuscany, Italy"
"Open Data in Uganda","http://catalog.data.ug","A community led site aggregating public open data in Uganda, map layers and news. Built with CKAN, Drupal and Geonode.","CKAN","Uganda"
"Open Data Lazio","http://dati.lazio.it/catalog","The Open Data of the Lazio Region in Italy","CKAN","Lazio, Italy"
"AWC Open Data","data.awcnet.org",,"Socrata","Washington"
"City of Cambridge Open Data","data.cambridgema.gov",,"Socrata","Cambridge, MA"
"Baltimore Open Data","data.baltimorecity.gov",,"Socrata","Baltimore, MD"
"City of Austin Open Data","data.austintexas.gov",,"Socrata","Austin, TX"
"City of Grande Prairie Open Data","data.cityofgp.com",,"Socrata","City of Grande Prairie, Canada"
"Alameda County Open Data","data.acgov.org",,"Socrata","Alameda County, CA"
"Auburn Open Data","data.auburnwa.gov",,"Socrata","Auburn, WA"
"City of Evanston Open Data","data.cityofevanston.org",,"Socrata","Evanston, IL"
"City of Boston Open Data","data.cityofboston.gov",,"Socrata","Boston, MA"
"CHHS Open Data Portal","chhs.data.ca.gov",,"Socrata","California"
"Data.HealthCare.gov","data.healthcare.gov",,"Socrata","United States"
"EPA ENERGY STAR","data.energystar.gov",,"Socrata","United States"
"San Bernardino Community Vital Signs","data.communityvitalsigns.org",,"Socrata","San Bernardino County, CA"
"CIC Open Data","data.cic.mx",,"Socrata","Monterrey, Mexico"
"Greensboro Open Data","data.greensboro-nc.gov",,"Socrata","Greensboro, NC"
"Open Data Douglas County","data.douglas.co.us",,"Socrata","Douglas County, CO"
"Open ATF","data.atf.gov",,"Socrata","United States"
"Tacoma Open Data","data.cityoftacoma.org",,"Socrata","Tacoma, WA"
"Code for South Africa Open Data","data.code4sa.org",,"Socrata","South Africa"
"Hawaii Open Data","data.hawaii.gov",,"Socrata","Hawaii"
"Colorado Information Marketplace","data.colorado.gov",,"Socrata","Colorado"
"California Franchise Tax Board Open Data Portal","data.ftb.ca.gov",,"Socrata","California"
"Los Angeles Open Data","controllerdata.lacity.org",,"Socrata","Los Angeles, CA"
"Connecticut Open Data","data.ct.gov",,"Socrata","Connecticut"
"Delaware Data","data.delaware.gov",,"Socrata","Delaware"
"Riverside County Open Data","data.countyofriverside.us",,"Socrata","Riverside County, CA"
"Danville Open Data Portal","data.danvilleva.gov",,"Socrata","Danville, VI"
"Edmonton Open Data Portal","data.edmonton.ca",,"Socrata","Edmonton, Canada"
"Culver Open Data","data.culvercity.org",,"Socrata","Culver, CA"
"Albany Open Data","data.albanyny.gov",,"Socrata","Albany, NY"
"NYC Open Data","data.cityofnewyork.us",,"Socrata","New York, NY"
"City of Berkeley Open Data Portal","data.cityofberkeley.info",,"Socrata","Berkeley, CA"
"West Sacramento Open Data","data.cityofwestsacramento.org",,"Socrata","West Sacramento, CA"
"NSW Education Datahub","data.cese.nsw.gov.au",,"Socrata","New South Wales, Australia"
"OpenData Ottawa","http://data.ottawa.ca","A source of data released by the City of Ottawa for free use by the public","CKAN","Ottawa, Canada"
"Hampton Open Data","data.hampton.gov",,"Socrata","Hampton, VA"
"Data City of Hartford","data.hartford.gov",,"Socrata","Hartford, CT"
"Chattanooga Open Data Portal","data.chattlibrary.org",,"Socrata","Chattanooga, TN"
"King County Open Data","data.kingcounty.gov",,"Socrata","King County, WA"
"City of Orlando Open Data Portal","data.cityoforlando.net",,"Socrata","Orlando, FL"
"City of Baton Rouge Open Data Portal","data.brla.gov",,"Socrata","Baton Rouge, LA"
"Burlington Open Data","data.burlingtonvt.gov",,"Socrata","Burlington, VT"
"Open Data City of Jackson","data.jacksonms.gov",,"Socrata","Jackson, MS"
"EDD Data Library","data.edd.ca.gov",,"Socrata","California"
"dataGNV Gainesville Open Data","data.cityofgainesville.org",,"Socrata","Gainesville, FL"
"Fort Worth Open Data Portal","data.fortworthtexas.gov",,"Socrata","Fort Worth, TX"
"Detroit Open Data Portal","data.detroitmi.gov",,"Socrata","Detroit, MI"
"data.iowa.gov","data.iowa.gov",,"Socrata","Iowa"
"Cincinnati Open Data Portal","data.cincinnati-oh.gov",,"Socrata","Cincinnati, OH"
"Open Data Centers for Disease Control and Prevention","chronicdata.cdc.gov",,"Socrata","United States"
"Data.Medicare.gov","data.medicare.gov",,"Socrata","United States"
"DC PCSB Data Portal","data.dcpcsb.org",,"Socrata","Washington DC"
"City of Madison Open Data","data.cityofmadison.com",,"Socrata","Madison, WI"
"San Diego Live Well Data Access Portal","data.livewellsd.org",,"Socrata","San Diego, CA"
"Macoupin Open Data Portal","data.macoupincountyil.gov",,"Socrata","Macoupin County, IL"
"IMLS Data Catalog","data.imls.gov",,"Socrata","United States"
"Menlo Park Open Data Portal","data.menlopark.org",,"Socrata","Menlo Park, CA"
"Data.Medicaid.gov","data.medicaid.gov",,"Socrata","United States"
"Little Rock Open Data Portal","data.littlerock.org",,"Socrata","Little Rock, AR"
"Monroe County FL Open Data Portal","data.monroecounty-fl.gov",,"Socrata","Monroe County, FL"
"OCEPR Open Data","data.oce.gov.pr",,"Socrata","Puerto Rico"
"City of Melbourne Open Data Portal","data.melbourne.vic.gov.au",,"Socrata","Melbourne, Australia"
"DataLA","data.lacity.org",,"Socrata","Los Angeles, CA"
"Montgomery County Data","data.montgomerycountymd.gov",,"Socrata","Montgomery County, MD"
"Open Reading","data.readingpa.gov",,"Socrata","Reading, PA"
"MCPS Open Data Portal","data.montgomeryschoolsmd.org",,"Socrata","Montgomery County, MD"
"Open Data Rutland City Police Department","data.rutlandcitypolice.com",,"Socrata","Rutland, VT"
"Michigan Open Data","data.michigan.gov",,"Socrata","Michigan"
"Maine Open Data","data.maine.gov",,"Socrata","Maine"
"Open Data Montgomery","data.montgomeryal.gov",,"Socrata","Montgomery, AL"
"Honolulu Open Data Portal","data.honolulu.gov",,"Socrata","Honolulu, HI"
"Open Data City of Providence","data.providenceri.gov",,"Socrata","Providence, RI"
"Queen Anne's County Open Data","data.qac.org",,"Socrata","Queen Anne's County, MD"
"State of New York Open Data","data.ny.gov",,"Socrata","New York"
"data.pa.gov","data.pa.gov",,"Socrata","Pennsylvania"
"Nova Scotia Government Open Data Portal","data.novascotia.ca",,"Socrata","Nova Scotia, Canada"
"Puerto Rico Government Open Data Portal","data.pr.gov",,"Socrata","Puerto Rico"
"Nashville Open Data","data.nashville.gov",,"Socrata","Nashville, TN"
"Open Data Portal City of Richmond, Virginia","data.richmondgov.com",,"Socrata","Richmond, VA"
"Roseville Open Data","data.roseville.ca.us",,"Socrata","Roseville, CA"
"OpenPGC Open Data","data.princegeorgescountymd.gov",,"Socrata","Prince Georges County, MD"
"Open Data City of Oxnard","data.oxnard.org",,"Socrata","Oxnard, CA"
"LOC Open Data Portal","data.orcities.org",,"Socrata","Oregon"
"State of Missouri Data Portal","data.mo.gov",,"Socrata","Missouri"
"Oregon Open Data","data.oregon.gov",,"Socrata","Oregon"
"Data.Redmond.Gov","data.redmond.gov",,"Socrata","Redmond, WA"
"Data Portal State of Montana","data.datamontana.us",,"Socrata","Montana"
"Police Foundation Open Data Portal","data.policefoundation.org",,"Socrata","United States"
"NASA","data.nasa.gov",,"Socrata","United States"
"City of Oakland Open Data Portal","data.oaklandnet.com",,"Socrata","Oakland, CA"
"California State Treasurer","data.debtwatch.treasurer.ca.gov",,"Socrata","California"
"Government Financial Reports California State Controller’s Office","bythenumbers.sco.ca.gov",,"Socrata","California"
"Open Data New Jersey OIT","data.nj.gov",,"Socrata","New Jersey"
"Data.NOLA.gov","data.nola.gov",,"Socrata","New Orleans, LA"
"Data Center for Disease Control","data.cdc.gov",,"Socrata","United States"
"City of Chicago Data Portal","data.cityofchicago.org",,"Socrata","Chicago, IL"
"State of Texas Open Data Portal","data.texas.gov",,"Socrata","Texas"
"Open Data data.maryland.gov","data.maryland.gov",,"Socrata","Maryland"
"Open San Mateo County","data.smcgov.org",,"Socrata","San Mateo County, CA"
"Santa Rosa Open Data","data.srcity.org",,"Socrata","Santa Rosa, CA"
"Topeka Open Data","data.topeka.org",,"Socrata","Topeka, KS"
"County of Sonoma Open Data","data.sonomacounty.ca.gov",,"Socrata","Sonoma County, CA"
"Seattle Open Data","data.seattle.gov",,"Socrata","Seattle, WA"
"State of Washington Open Data Platform","data.wa.gov",,"Socrata","Washington"
"Minnesota Geospatial Commons","https://gisdata.mn.gov","Clearinghouse for GIS datasets","CKAN","Minnesota, USA"
"Strathcona County Open Data","data.strathcona.ca",,"Socrata","Strathcona County, CA"
"Miami-Dade County Open Data Portal","opendata.miamidade.gov",,"Socrata","Miami-Dade County, FL"
"Vermont Open Data","data.vermont.gov",,"Socrata","Vermont"
"Howard County Open Data Portal","opendata.howardcountymd.gov",,"Socrata","Howard County, MD"
"Santa Monica Sustainable City Plan","data.sustainablesm.org",,"Socrata","Santa Monica, CA"
"New Jersey Depart of Health","healthdata.nj.gov",,"Socrata","New Jersey"
"Virginia Beach Open Data","data.vbgov.com",,"Socrata","Virginia Beach, VA"
"Henderson Open Data","opendata.cityofhenderson.com",,"Socrata","Henderson, NC"
"Impact STLCO","impact.stlouisco.com",,"Socrata","St. Louis County, MO"
"Sunshine Coast Council Open Data","data.sunshinecoast.qld.gov.au",,"Socrata","Sunshine Coast, Australia"
"Internet Data Portal","idp.nz",,"Socrata","New Zealand"
"Santa Monica Open Data","data.smgov.net",,"Socrata","Santa Monica, CA"
"VTA Open Data Portal","data.vta.org",,"Socrata","Santa Clara, CA"
"White House Open Data","open.whitehouse.gov",,"Socrata","United States"
"Portal de Datos Abiertos Municipio de Puebla","datosabiertos.pueblacapital.gob.mx",,"Socrata","Puebla, Mexico"
"Las Vegas Open Data","opendata.lasvegasnevada.gov",,"Socrata","Las Vegas, NV"
"Urbana Open Data Portal","data.urbanaillinois.us",,"Socrata","Urbana, IL"
"Township of Langley Open Data Portal","data.tol.ca",,"Socrata","Township of Langley, Canada"
"Richmond Open Data","opendata.ci.richmond.ca.us",,"Socrata","Richmond, CA"
"SF OpenData","data.sfgov.org",,"Socrata","San Francisco, CA"
"Open Data West Hollywood","data.weho.org",,"Socrata","West Hollywood, CA"
"State of New York Open Data Health","health.data.ny.gov",,"Socrata","New York"
"The City of Saint Paul's Open Data Portal","information.stpaul.gov",,"Socrata","Saint Paul, MI"
"Open Government Data Sunlight Labs","data.sunlightlabs.com",,"Socrata","United States"
"City of Somerville Open Data","data.somervillema.gov",,"Socrata","Somerville, MA"
"Open Data City of Winnipeg","data.winnipeg.ca",,"Socrata","Winnipeg, Canada"
"Data Cook County","datacatalog.cookcountyil.gov",,"Socrata","Cook County, IL"
"Open Data KC","data.kcmo.org",,"Socrata","Kansas City, MO"
"Consumer Complaint Data Center Federal Communications Commission","opendata.fcc.gov",,"Socrata","United States"
"MassData","data.mass.gov",,"Socrata","Massachusetts"
"data.ca.gov","greengov.data.ca.gov",,"Socrata","California"
"Mesquite Open Data Portal","opendata.cityofmesquite.com",,"Socrata","Mesquite, TX"
"City of Philadelphia Open Data","data.phila.gov",,"Socrata","Philadelphia, PA"
"Consumer Complaint Database Consumer Financial Protection Bureau","data.consumerfinance.gov",,"Socrata","United States"
"Kenya Open Data Portal","www.opendata.go.ke",,"Socrata","Kenya"
"SCT Datos Abiertos","www.datossct.gob.mx",,"Socrata","Mexico"
"Dallas OpenData","www.dallasopendata.com",,"Socrata","Dallas, TX"
"dataACT","www.data.act.gov.au",,"Socrata","Australia"
"State of Utah Open Data Portal","opendata.utah.gov",,"Socrata","Utah"
"Datos Abiertos Colombia","www.datos.gov.co",,"Socrata","Colombia"
"Sudan Evidence Base Programme","www.sudandata.org",,"Socrata","Sudan"
"Indicadores Puerto Rico","www.indicadores.pr",,"Socrata","Puerto Rico"
"Open Data Hamburg","http://suche.transparenz.hamburg.de","The city of Hamburg in Germany launched a beta version of their data portal in February 2013. The portal uses CKAN on the back-end. The API is available at opendata.hamburg.de.","CKAN","Hamburg, Germany"
"Open Data Aachen","http://opendata.aachen.de","Open Data Portal for the city of Aachen in Germany. CKAN customisations performed by OKF Germany.","CKAN","Aachen, Germany"
"Open data portal of Republic of Croatia","http://data.gov.hr","Open data portal of the Republic of Croatia represents a data node that is used for the collection, categorization, and the distribution of open data to the public sector","CKAN","Croatia"
"Open Data Trentino","http://dati.trentino.it","Open data portal for the province of Trentino, Italy.","CKAN","Trentino, Italy"
"dati.gov.it","http://www.dati.gov.it","","DKAN","Italy"
"OpenBelgium","http://portal.openbelgium.be","Community site that gathers open data sources across Belgium and advocates the use of open data through examples.","CKAN","Belgium"
"OpenColorado","http://data.opencolorado.org","","CKAN","Colorado"
"Opendata Caceres","http://opendata.caceres.es","Opendata Caceres was launched in 2014 by the city government of Caceres. This portal aims to share the official data of the city to their citizens, and especially to developers. That is why all the datasets are ranked as 5 stars by Tim Berners-Lees ranking.","CKAN","Caceres, Spain"
"OpenData.HRO","http://www.opendata-hro.de","The Hansestadt Rostock (Hanseatic City of Rostock) launched its data portal, www.opendata-hro.de, in February 2013. It contains data from the city in a wide range of areas, such as transport, environment, infrastructure and administrative data, with the aim that it should find commercial and other uses.","CKAN","Rostock, Germany"
"OpenDataDC","http://opendatadc.org","OpenDataDC is a public data catalog for and by the people of Washington, DC. It complements the catalog maintained by the city government at data.dc.gov which houses official municipal data. OpenData DC is a project of Code for DC.","CKAN","Washington DC"
"OpenDataReno","http://opendatareno.org","OpenDataReno is a place to exchange data and information useful to the residents of the greater Reno/Sparks/Washoe County area.","CKAN","Reno, NV, USA"
"OpenGovData.ru","https://hubofdata.ru","A community-run data portal for Russia","CKAN","Russia"
"CONCYTEC","http://datos.concytec.gob.pe",,"DKAN","Peru"
"Datos Minedu","http://datos.minedu.gob.pe",,"DKAN","Peru"
"Repositorio de Datos Minsa","http://datos.minsa.gob.pe",,"DKAN","Peru"
"JNE - Portal de Datos Abiertos","http://jnedatosabiertos.pe",,"DKAN","Peru"
"Trabajo, Ministerio de Trabajo y Promocion del Empleo","http://datos.trabajo.gob.pe",,"DKAN","Peru"
"Open Data Windsor Essex","http://odwe.ca",,"DKAN","Windsor, Canada"
"Fredericton Open Data","http://data.fredericton.ca/en",,"DKAN","Fredericton, Canada"
"TransformAgriculture","http://transformagriculture.org",,"DKAN","Africa"
"Ghana Open Data Initiative","http://data.gov.gh",,"DKAN","Ghana"
"Sayada OpenData","http://opendata.sayada.tn/fr",,"DKAN","Sayada, Tunisia"
"Jamaica Open Data","http://data.gov.jm",,"DKAN","Jamaica"
"Portal de Dados Abertos da Cidade de Sao Paulo","http://dados.prefeitura.sp.gov.br","O Portal de Dados Abertos da Prefeitura de Sao Paulo tem sua origem no Catalogo Municipal de Bases de Dados (CMBD). Previsto pelo Decreto Municipal no 54.779/2014, o CMBD tem por finalidade divulgar uma listagem de todas as bases de dados produzidas pelos orgaos e entidades da administracao municipal.","CKAN","Sao Paulo, Brazil"
"Portal de Dados Abiertos del Gobierno de Misiones","http://www.datos.misiones.gov.ar","La Iniciativa de Datos Abiertos Vinculados del Gobierno de Misiones busca aumentar el acceso y uso publico a conjuntos de datos de valor, que sean legibles por maquinas, y hayan sido generados por el Poder Ejecutivo del Gobierno de Misiones. ","CKAN","Misiones, Argentina"
"Portale OpenData del Comune di Bari","http://opendata.comune.bari.it","The City of Bari, capital of the Puglia region, followed a number of other Italian administrations by releasing an Open Data catalogue in January 2013, with additional data being added gradually.","CKAN","Bari, Italy"
"Queensland Government Data","https://data.qld.gov.au","The state of Queensland launched the first governmental CKAN portal in Australia, Queensland Government data, in December 2012, with the help of the Open Knowledge Foundation and XVT Solutions, a local IT firm.","CKAN","Queensland, Australia"
"Rotterdam Open Data Store","http://rotterdamopendata.nl","Rotterdam Open Data Store provides data held by the city of Rotterdam. It was launched in 2012 as a collaboration between the city of Rotterdam and the Rotterdam University of applied sciences.","CKAN","Rotterdam, Netherlands"
"South Australia Government Data Directory","https://data.sa.gov.au/data","","CKAN","South Australia, Australia"
"Taijiang Research Data Repository","http://taijiang.tw","Taijiang Research Data Repository is a research data repository for the humanities and areas studies in Taijiang Inland Sea Area, a region in Tainan City in Southern Taiwan.","CKAN","Tainan, Taiwan, China"
